name,latitude,elevation,location,last_updated
Vedanta Lanjigarh Airstrip,19.71944444,16,Unknown,2014-02-26T05:01:51+00:00
no airport,20.46668667,16,Unknown,2015-03-17T08:40:19+00:00
Salwas,26.141647,16,Unknown,2013-02-19T02:53:31+00:00
Airport,26.436257,16,Unknown,2013-02-19T03:04:33+00:00
Gangtok Helipad,27.35569763,16,Unknown,2008-12-10T23:46:09+00:00
Pakyong Airport (Under Construction),27.2313,4590,Unknown,2016-06-02T08:29:41+00:00
Kayathar Airstrip,8.971388817,16,Unknown,2008-12-07T03:42:46+00:00
Chettinad Airstrip,10.16499615,16,Unknown,2008-12-07T03:56:58+00:00
Ulundurpet Airstrip,11.68854875,16,Unknown,2010-03-15T23:22:06+00:00
Cholavaram Airstrip,13.21024193,16,Unknown,2010-12-30T10:48:15+00:00
Sultanpur,26.2475,16,Unknown,2012-02-09T10:17:46+00:00
Dudhkundi Airfield,22.32459157,16,Unknown,2010-03-15T05:55:42+00:00
Piardoba Airfield,22.98950855,16,Unknown,2010-03-15T06:01:46+00:00
Bishnupur Airfield,23.03392669,16,Unknown,2012-07-21T00:50:39+00:00
Guskhara Airfield,23.471667,16,Unknown,2012-07-21T01:08:26+00:00
Pandaveswar Airfield,23.64130052,16,Unknown,2012-07-21T01:13:06+00:00
Aamby Valley Airport,18.60961667,2262,Aamby Valley City,2010-12-29T17:10:50+00:00
Kishangarh Airport,26.601473,16,Ajmer,2018-04-30T10:57:09+00:00
Akli Airport,25.8077,230,Akli,2016-05-15T15:58:47+00:00
Dhanipur Airstrip,27.86085631,16,Aligarth,2011-05-29T22:01:32+00:00
Amravati (Belora) Airstrip,20.81334851,1125,Amravati,2012-06-02T11:54:13+00:00
Jakkur Aerodrome,13.07674,3013,Bengaluru,2016-12-12T11:45:34+00:00
Bilaspur Helipad,31.34513889,1685,Bilaspur,2012-08-26T04:48:45+00:00
"Aviation Research Centre, RAW Headquarter Helipad",30.70645,16,Chakrata,2010-12-29T19:13:22+00:00
Daporijo Airport,27.98550034,750,Daporijo,2014-08-29T01:01:59+00:00
Dhubulia Airstrip,23.49298469,16,Dhubulia,2010-12-28T14:04:30+00:00
Digri Airstrip,22.78544033,16,Digri,2010-12-28T14:05:23+00:00
Sido Kanhu Airport,24.231185,470,Dumka,2016-05-20T21:44:07+00:00
Kazi Nazrul Islam Airport,23.6225,300,Durgapur,2016-05-20T12:34:28+00:00
Durgapur Steel Plant Airport,23.58331,290,Durgapur,2016-05-20T20:47:02+00:00
Faizabad Airport,26.7511282,350,Faizabad,2010-09-09T10:27:57+00:00
